dataset,backend,vector,index,serial,parallel,absDiff,relDiff
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",55,-3.9290227745900395,-4.4467055417424755,0.517682767152436,0.13175865777628429
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",56,-0.34840329363926464,-0.58292793491561223,0.23452464127634759,0.67314128642874849
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",57,-0.34648824384011329,-0.58165327923928434,0.23516503539917105,0.67870999833312606
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",58,-0.34708932933306774,-0.58282958271177188,0.23574025337870413,0.67919187787097668
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",59,-0.34590557416306567,-0.58196265296320915,0.23605707880014348,0.68243213302154604
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",60,-0.67660700292118459,-1.0599890174698259,0.38338201454864129,0.56662436672015948
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",61,-0.73983653057244625,-1.1442798415823869,0.40444331100994069,0.54666577588025278
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",62,-0.3466298794696776,-0.58213818460112332,0.23550830513144572,0.67942297845690314
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",63,-0.6746268318059101,-1.0582160820159554,0.38358925021004531,0.56859471358886571
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",64,-1.7199235382401641,-2.2719904299642515,0.55206689172408741,0.32098339225531242
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",65,-0.74432719710148232,-1.1547472801134606,0.4104200830119783,0.55139740239267543
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",66,-1.4714106489953667,-2.002636722680974,0.53122607368560737,0.36103182619230872
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",67,-1.4084938709163994,-1.936405767472694,0.52791189655629456,0.37480595937050304
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",68,-1.1196558873988518,-1.6182759446330095,0.4986200572341577,0.44533330538951177
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",69,-2.7082022331474938,-3.2544748352546593,0.54627260210716555,0.20171041712504728
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",70,-1.1467740533897499,-1.6468186147313013,0.5000445613415514,0.43604453716359337
